"Source:","C:\Users\saraa\Documents\school\phys490\SC_555_thermostat\555_thermostat.kicad_sch"
"Date:","2022-04-04 11:46:47 AM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","11"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","baby_batt","p490:baby_batt","p490:coinbat",""
"","","C1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C2","0.1","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C3","33micro","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","D2","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","R1","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R2","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R3","4k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","TH1","4.7k/25C","Device:Thermistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","U1","my555","p490:my555","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BT1","baby_batt","p490:baby_batt","p490:coinbat",""
"2","1","C1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"3","1","C2","0.1","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"4","1","C3","33micro","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"5","2","D1, D2","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"6","2","R1, R2","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"7","1","R3","4k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"8","1","TH1","4.7k/25C","Device:Thermistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"9","1","U1","my555","p490:my555","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
